admin:gpg_key
admin:org
admin:org_hook
admin:public_key
admin:repo_hook
codespace
delete_repo
delete:packages
gist
notifications
project
public_repo
read:audit_log
read:gpg_key
read:org
read:packages
read:project
read:public_key
read:repo_hook
read:user
repo_deployment
repo:invite
repo:status
security_events
user
user:email
user:follow
workflow
write:gpg_key
write:org
write:packages
write:public_key
write:repo_hook
